1,MICHAEL,Male,North,DELHI,110028,JOINT,AADHAR,6349499,Commerical,10,18-03-2021,12-10-2021,18-04-2021,Approved,1460,HEM CHAND,Installation pending
2,DAVID,Male,South,DELHI,110007,INDIVIDUAL,VOTER_ID,76929,Commerical,6,25-08-2021,,25-09-2021,Pending,1311,Sudhanshu Gupta,Documents verification in progress
3,JOHN,Male,East,DELHI,110065,INDIVIDUAL,PAN,6349499,Commerical,7,08-01-2021,,08-02-2021,Pending,1460,HEM CHAND,Documents verification in progress
4,JENNIFER,Male,West,DELHI,110037,INDIVIDUAL,PASSPORT,615909293,Commerical,3,14-01-2021,,14-02-2021,Pending,2456,RAHUL SINGH,Documents verification in progress
5,CHRIS,Male,North,DELHI,110013,INDIVIDUAL,PASSPORT,674510412,Residential,3,15-07-2021,,15-08-2021,Pending,1678,Manoj Pandey,Documents verification in progress
6,JESSICA,Male,North,DELHI,110054,INDIVIDUAL,AADHAR,9.49E+11,Commerical,5,03-04-2021,,03-05-2021,Pending,1678,Manoj Pandey,Documents verification in progress
7,LISA,Male,North,DELHI,110001,INDIVIDUAL,PAN,7768237,Residential,9,17-09-2021,,17-10-2021,Pending,2456,RAHUL SINGH,Documents verification in progress
8,MIKE,Male,North,DELHI,110018,INDIVIDUAL,VOTER_ID,76623,Commerical,8,16-10-2021,,16-11-2021,Pending,1311,Sudhanshu Gupta,Documents verification in progress
9,ANTHONY,Male,North,DELHI,110042,INDIVIDUAL,PASSPORT,946919751,Residential,1,08-03-2021,,08-04-2021,Pending,4510,VINOD GUPTA,Documents verification in progress
10,JAMES,Male,North,DELHI,110065,JOINT,PAN,3142144,Residential,4,15-03-2021,,15-04-2021,Pending,1460,HEM CHAND,Documents verification in progress
11,ROBERT,Male,North,DELHI,110034,JOINT,PAN,3757059,Commerical,7,30-10-2021,,30-11-2021,Pending,1311,Sudhanshu Gupta,Documents verification in progress
12,JASON,Male,North,DELHI,110019,INDIVIDUAL,AADHAR,2.53E+11,Commerical,3,15-04-2021,15-05-2021,15-05-2021,Connection Released,1460,HEM CHAND,Installation completed
13,BRIAN,Male,North,DELHI,110048,JOINT,VOTER_ID,90809,Commerical,6,11-11-2021,11-12-2021,11-12-2021,Connection Released,2456,RAHUL SINGH,Installation completed
14,KEVIN,Male,North,DELHI,110028,INDIVIDUAL,PASSPORT,840545693,Residential,7,25-06-2021,25-07-2021,25-07-2021,Connection Released,2456,RAHUL SINGH,Installation completed
